+--------------------------------------------------------------------------------------------------+--------+-----------------+
|                                         Nombre artículo                                          |  $$$   |     Almacen     |
|                              Lechuga Mantecosa PUNTO VERDE Orgánica                              |  42    | Tienda Inglesa  |
|                                    Lechuga Mantecosa en Bolsa                                    |  42    | Tienda Inglesa  |
|                                          Lechuga Morada                                          |  25    |     Devoto      |
|                            Lechuga Orgánica Crespa Blanca PUNTO VERDE                            |  42    | Tienda Inglesa  |
|                                       Lechuga Roble Blanca                                       |  39    | Tienda Inglesa  |
|                                   Lechuga Salanova Hidropónica                                   |  37    | Tienda Inglesa  |
|                           Lechuga americana procesada Club Verde 250 g                           |  70    |      Disco      |
|                                     Lechuga baby 100 gramos                                      |  69    | Tienda Inglesa  |
|                             Lechuga crespa blanca orgánica Don Quico                             |  37    |     Devoto      |
|                             Lechuga crespa blanca orgánica Don Quico                             |  37    |      Disco      |
|                                      Lechuga de Invernáculo                                      |  25    |      Disco      |
|                                 Lechuga mantecosa Granja Sefarad                                 |  35    |      Disco      |
|                                          Lentejas 400 g                                          |  55    |      Disco      |
|                                    Lima Tahití aprox. x 70 g                                     |   6    |     Devoto      |
|                                    Lima Tahití aprox. x 70 g                                     |   6    |      Disco      |
|                              Lima Ácida Tahiti para Caipirinha (Kg)                              |  113   | Tienda Inglesa  |
|                                       Limón aprox. x 100 g                                       |   7    |      Disco      |
|                                   Limón en malla apro x 1,5 kg                                   |  90    |     Devoto      |
|                                   Limón en malla apro x 1,5 kg                                   |  90    |      Disco      |
|                                  Limón importado aprox. x 150 g                                  |  17    |     Devoto      |
|                                  Limón importado aprox. x 150 g                                  |  17    |      Disco      |
|                                            Lino 200 g                                            |  54    |     Devoto      |
|                                            Lino 200 g                                            |  54    |      Disco      |
|                                            Mamao (Kg)                                            |  178   | Tienda Inglesa  |
|                                       Mamao Calimosa (Kg)                                        |  162   | Tienda Inglesa  |
|                                   Mamao Calimosa apro x 900 g                                    |  153   |     Devoto      |
|                                   Mamao Calimosa apro x 900 g                                    |  153   |      Disco      |
|                                       Mamao aprox. x 350 g                                       |  63    |     Devoto      |
|                                       Mamao aprox. x 350 g                                       |  63    |      Disco      |
|                                      Mandarina murcot (kg)                                       |  98    | Tienda Inglesa  |
|                                         Mandioca x 300 g                                         |  36    |     Devoto      |
|                                    Mango Pote PINGAKOL 100 g                                     |  99    | Tienda Inglesa  |
|                                          Mango x 250 g                                           |  61    |     Devoto      |
|                                          Mango x 250 g                                           |  61    |      Disco      |
|                                     Manzana Cripps Pink (kg)                                     |  119   | Tienda Inglesa  |
|                                   Manzana FUJI Importada (Kg)                                    |  182   | Tienda Inglesa  |
